image_id,label,relative_path
IMG_DAMAGED_0001,damaged,data/images/damaged/IMG_DAMAGED_0001.jpg
IMG_DAMAGED_0002,damaged,data/images/damaged/IMG_DAMAGED_0002.jpg
IMG_DAMAGED_0003,damaged,data/images/damaged/IMG_DAMAGED_0003.jpg
IMG_DAMAGED_0004,damaged,data/images/damaged/IMG_DAMAGED_0004.jpg
IMG_DAMAGED_0005,damaged,data/images/damaged/IMG_DAMAGED_0005.jpg
IMG_DAMAGED_0006,damaged,data/images/damaged/IMG_DAMAGED_0006.jpg
IMG_DAMAGED_0007,damaged,data/images/damaged/IMG_DAMAGED_0007.jpg
IMG_DAMAGED_0008,damaged,data/images/damaged/IMG_DAMAGED_0008.jpg
IMG_DAMAGED_0009,damaged,data/images/damaged/IMG_DAMAGED_0009.jpg
IMG_DAMAGED_0010,damaged,data/images/damaged/IMG_DAMAGED_0010.jpg
IMG_DAMAGED_0011,damaged,data/images/damaged/IMG_DAMAGED_0011.jpg
IMG_DAMAGED_0012,damaged,data/images/damaged/IMG_DAMAGED_0012.jpg
IMG_DAMAGED_0013,damaged,data/images/damaged/IMG_DAMAGED_0013.jpg
IMG_DAMAGED_0014,damaged,data/images/damaged/IMG_DAMAGED_0014.jpg
IMG_DAMAGED_0015,damaged,data/images/damaged/IMG_DAMAGED_0015.jpg
IMG_DAMAGED_0016,damaged,data/images/damaged/IMG_DAMAGED_0016.jpg
IMG_DAMAGED_0017,damaged,data/images/damaged/IMG_DAMAGED_0017.jpg
IMG_DAMAGED_0018,damaged,data/images/damaged/IMG_DAMAGED_0018.jpg
IMG_DAMAGED_0019,damaged,data/images/damaged/IMG_DAMAGED_0019.jpg
IMG_DAMAGED_0020,damaged,data/images/damaged/IMG_DAMAGED_0020.jpg
IMG_DAMAGED_0021,damaged,data/images/damaged/IMG_DAMAGED_0021.jpg
IMG_DAMAGED_0022,damaged,data/images/damaged/IMG_DAMAGED_0022.jpg
IMG_DAMAGED_0023,damaged,data/images/damaged/IMG_DAMAGED_0023.jpg
IMG_DAMAGED_0024,damaged,data/images/damaged/IMG_DAMAGED_0024.jpg
IMG_DAMAGED_0025,damaged,data/images/damaged/IMG_DAMAGED_0025.jpg
IMG_DAMAGED_0026,damaged,data/images/damaged/IMG_DAMAGED_0026.jpg
IMG_DAMAGED_0027,damaged,data/images/damaged/IMG_DAMAGED_0027.jpg
IMG_DAMAGED_0028,damaged,data/images/damaged/IMG_DAMAGED_0028.jpg
IMG_DAMAGED_0029,damaged,data/images/damaged/IMG_DAMAGED_0029.jpg
IMG_DAMAGED_0030,damaged,data/images/damaged/IMG_DAMAGED_0030.jpg
IMG_DAMAGED_0031,damaged,data/images/damaged/IMG_DAMAGED_0031.jpg
IMG_DAMAGED_0032,damaged,data/images/damaged/IMG_DAMAGED_0032.jpg
IMG_DAMAGED_0033,damaged,data/images/damaged/IMG_DAMAGED_0033.jpg
IMG_DAMAGED_0034,damaged,data/images/damaged/IMG_DAMAGED_0034.jpg
IMG_DAMAGED_0035,damaged,data/images/damaged/IMG_DAMAGED_0035.jpg
IMG_DAMAGED_0036,damaged,data/images/damaged/IMG_DAMAGED_0036.jpg
IMG_DAMAGED_0037,damaged,data/images/damaged/IMG_DAMAGED_0037.jpg
IMG_DAMAGED_0038,damaged,data/images/damaged/IMG_DAMAGED_0038.jpg
IMG_DAMAGED_0039,damaged,data/images/damaged/IMG_DAMAGED_0039.jpg
IMG_DAMAGED_0040,damaged,data/images/damaged/IMG_DAMAGED_0040.jpg
IMG_DAMAGED_0041,damaged,data/images/damaged/IMG_DAMAGED_0041.jpg
IMG_DAMAGED_0042,damaged,data/images/damaged/IMG_DAMAGED_0042.jpg
IMG_DAMAGED_0043,damaged,data/images/damaged/IMG_DAMAGED_0043.jpg
IMG_DAMAGED_0044,damaged,data/images/damaged/IMG_DAMAGED_0044.jpg
IMG_DAMAGED_0045,damaged,data/images/damaged/IMG_DAMAGED_0045.jpg
IMG_DAMAGED_0046,damaged,data/images/damaged/IMG_DAMAGED_0046.jpg
IMG_DAMAGED_0047,damaged,data/images/damaged/IMG_DAMAGED_0047.jpg
IMG_DAMAGED_0048,damaged,data/images/damaged/IMG_DAMAGED_0048.jpg
IMG_DAMAGED_0049,damaged,data/images/damaged/IMG_DAMAGED_0049.jpg
IMG_DAMAGED_0050,damaged,data/images/damaged/IMG_DAMAGED_0050.jpg
IMG_DAMAGED_0051,damaged,data/images/damaged/IMG_DAMAGED_0051.jpg
IMG_DAMAGED_0052,damaged,data/images/damaged/IMG_DAMAGED_0052.jpg
IMG_DAMAGED_0053,damaged,data/images/damaged/IMG_DAMAGED_0053.jpg
IMG_DAMAGED_0054,damaged,data/images/damaged/IMG_DAMAGED_0054.jpg
IMG_DAMAGED_0055,damaged,data/images/damaged/IMG_DAMAGED_0055.jpg
IMG_DAMAGED_0056,damaged,data/images/damaged/IMG_DAMAGED_0056.jpg
IMG_DAMAGED_0057,damaged,data/images/damaged/IMG_DAMAGED_0057.jpg
IMG_DAMAGED_0058,damaged,data/images/damaged/IMG_DAMAGED_0058.jpg
IMG_DAMAGED_0059,damaged,data/images/damaged/IMG_DAMAGED_0059.jpg
IMG_DAMAGED_0060,damaged,data/images/damaged/IMG_DAMAGED_0060.jpg
IMG_DAMAGED_0061,damaged,data/images/damaged/IMG_DAMAGED_0061.jpg
IMG_DAMAGED_0062,damaged,data/images/damaged/IMG_DAMAGED_0062.jpg
IMG_DAMAGED_0063,damaged,data/images/damaged/IMG_DAMAGED_0063.jpg
IMG_DAMAGED_0064,damaged,data/images/damaged/IMG_DAMAGED_0064.jpg
IMG_DAMAGED_0065,damaged,data/images/damaged/IMG_DAMAGED_0065.jpg
IMG_DAMAGED_0066,damaged,data/images/damaged/IMG_DAMAGED_0066.jpg
IMG_DAMAGED_0067,damaged,data/images/damaged/IMG_DAMAGED_0067.jpg
IMG_DAMAGED_0068,damaged,data/images/damaged/IMG_DAMAGED_0068.jpg
IMG_DAMAGED_0069,damaged,data/images/damaged/IMG_DAMAGED_0069.jpg
IMG_DAMAGED_0070,damaged,data/images/damaged/IMG_DAMAGED_0070.jpg
IMG_DAMAGED_0071,damaged,data/images/damaged/IMG_DAMAGED_0071.jpg
IMG_DAMAGED_0072,damaged,data/images/damaged/IMG_DAMAGED_0072.jpg
IMG_DAMAGED_0073,damaged,data/images/damaged/IMG_DAMAGED_0073.jpg
IMG_DAMAGED_0074,damaged,data/images/damaged/IMG_DAMAGED_0074.jpg
IMG_DAMAGED_0075,damaged,data/images/damaged/IMG_DAMAGED_0075.jpg
IMG_DAMAGED_0076,damaged,data/images/damaged/IMG_DAMAGED_0076.jpg
IMG_DAMAGED_0077,damaged,data/images/damaged/IMG_DAMAGED_0077.jpg
IMG_DAMAGED_0078,damaged,data/images/damaged/IMG_DAMAGED_0078.jpg
IMG_DAMAGED_0079,damaged,data/images/damaged/IMG_DAMAGED_0079.jpg
IMG_DAMAGED_0080,damaged,data/images/damaged/IMG_DAMAGED_0080.jpg
IMG_DAMAGED_0081,damaged,data/images/damaged/IMG_DAMAGED_0081.jpg
IMG_DAMAGED_0082,damaged,data/images/damaged/IMG_DAMAGED_0082.jpg
IMG_DAMAGED_0083,damaged,data/images/damaged/IMG_DAMAGED_0083.jpg
